ProductName,RecipeType,id,QtyProduced,ProcessingCost,ingredient1id,ingredient1Qty,ingredient2id,ingredient2Qty,ingredient3id,ingredient3Qty
Ahrim's hood,Repair Broken Armour (POH - 80 smithing),4708,1,36000,4860,1,,0,,0
Torag's helm,Repair Broken Armour (POH - 80 smithing),4745,1,36000,4956,1,,0,,0
Dharok's helm,Repair Broken Armour (POH - 80 smithing),4716,1,36000,4884,1,,0,,0
Guthan's helm,Repair Broken Armour (POH - 80 smithing),4724,1,36000,4908,1,,0,,0
Verac's helm,Repair Broken Armour (POH - 80 smithing),4753,1,36000,4980,1,,0,,0
Karil's leatherskirt,Repair Broken Armour (POH - 80 smithing),4738,1,48000,4950,1,,0,,0
Ahrim's robeskirt,Repair Broken Armour (POH - 80 smithing),4714,1,48000,4878,1,,0,,0
Torag's platelegs,Repair Broken Armour (POH - 80 smithing),4751,1,48000,4974,1,,0,,0
Dharok's platelegs,Repair Broken Armour (POH - 80 smithing),4722,1,48000,4902,1,,0,,0
Guthan's chainskirt,Repair Broken Armour (POH - 80 smithing),4730,1,48000,4926,1,,0,,0
Verac's plateskirt,Repair Broken Armour (POH - 80 smithing),4759,1,48000,4998,1,,0,,0
Karil's crossbow,Repair Broken Weapon (POH - 80 smithing),4734,1,60000,4938,1,,0,,0
Ahrim's staff,Repair Broken Weapon (POH - 80 smithing),4710,1,60000,4866,1,,0,,0
Torag's hammers,Repair Broken Weapon (POH - 80 smithing),4747,1,60000,4962,1,,0,,0
Dharok's greataxe,Repair Broken Weapon (POH - 80 smithing),4718,1,60000,4890,1,,0,,0
Guthan's warspear,Repair Broken Weapon (POH - 80 smithing),4726,1,60000,4914,1,,0,,0
Verac's flail,Repair Broken Weapon (POH - 80 smithing),4755,1,60000,4986,1,,0,,0
Voidwaker,"Bawa Hilt+Blade+Gem & 500K GP ke Madam Sikaro",27690,1,500000,27687,1,27684,1,27681,1
Ancient godsword,Gabungkan hilt + godsword blade,26233,1,0,11798,1,26370,1,,0
Armadyl godsword,Gabungkan hilt + godsword blade,11802,1,0,11798,1,11810,1,,0
Bandos godsword,Gabungkan hilt + godsword blade,11804,1,0,11798,1,11812,1,,0
Saradomin godsword,Gabungkan hilt + godsword blade,11806,1,0,11798,1,11814,1,,0
Zamorak godsword,Gabungkan hilt + godsword blade,11808,1,0,11798,1,11816,1,,0
Torva full helm,Anvil + Broken Armour + 1 Bandosian Component (90 smithing),26382,1,0,26376,1,11834,0.5,,0
Torva platebody,Anvil + Broken Armour + 2 Bandosian Components (90 smithing),26384,1,0,26378,1,11834,1,,0
Torva platelegs,Anvil + Broken Armour + 2 Bandosian Components (90 smithing),26386,1,0,26380,1,11834,1,,0
Dragon hunter lance,Gabungkan Hydra Claw + Zamorakian Hasta,22978,1,0,22966,1,11889,1,,0
Guardian boots,Gabungkan Bandos Boots + Black tourmaline core,21733,1,0,21730,1,11836,1,,0
Dragonfire shield,Anvil + Anti-dragon shield + Draconic Visage (90 smithing),11284,1,0,11286,1,1540,1,,0
Kodai wand,Gabungkan Master Wand + Kodai insignia,21006,1,0,21043,1,6914,1,,0
Black mask,Uncharge Black mask (10),8921,1,0,8901,1,,0,,0
Venator bow (uncharged),Gabungkan 5 Venator shards,27612,1,0,27614,5,,0,,0
